,customer_id,first_name,last_name,email,phone,address,registration_date,loyalty_status,Tier,order_id,order_date,order_amount,order_status,product_category
0,2,Brad,Newton,taylorcatherine@example.net,+1 (537)-674-1158,"38783 Oliver Street, West Kristenborough, MT 99752",2023-07-13,Silver,2,209c024e-6c32-49fa-acd1-2501bd19c1cd,2023-10-30,486.53,Pending,Toys
1,2,Brad,Newton,taylorcatherine@example.net,+1 (537)-674-1158,"38783 Oliver Street, West Kristenborough, MT 99752",2023-07-13,Silver,2,3f263091-da18-48a6-8b00-c179e1b1a81a,2024-08-29,781.22,Pending,Books
2,3,Larry,Torres,dsanchez@example.net,+1 (810)-256-4505,"6845 Steele Turnpike, West Erikabury, UT 37487",2023-08-18,Bronze,3,63d7870e-617e-4f49-ae9b-b893e635e43f,2023-04-05,454.07,Pending,Toys
3,4,Kimberly,Price,jessicaknight@example.com,+1 (423)-222-9779,"1631 Alexis Meadows, Lake Amanda, CA 75179",2024-12-08,Gold,1,cbe7b5ef-013f-4b4f-9ac4-3b510075080a,2023-08-12,259.07,Cancelled,Electronics
4,4,Kimberly,Price,jessicaknight@example.com,+1 (423)-222-9779,"1631 Alexis Meadows, Lake Amanda, CA 75179",2024-12-08,Gold,1,21209e05-078a-402d-a450-dd310595e5f0,2024-08-27,117.03,Completed,Electronics
5,5,Matthew,Phillips,qwilliams@example.com,+1 (220)-763-3522,"2274 Williams Heights Suite 895, Andersonhaven, OR 80565",2024-02-03,Gold,1,4988e17a-4287-41b5-a483-b150f2814d12,2023-11-11,555.63,Cancelled,Books
6,5,Matthew,Phillips,qwilliams@example.com,+1 (220)-763-3522,"2274 Williams Heights Suite 895, Andersonhaven, OR 80565",2024-02-03,Gold,1,a1dbce6f-f08a-43d1-a2b2-1e96b6afa14d,2023-08-28,667.6,Completed,Electronics
7,6,Darrell,Gallagher,larryharris@example.org,+1 (379)-950-3695,"19887 Brandon Bridge, New Rebecca, MA 94947",2025-03-03,Bronze,3,abce154a-4017-49e2-8b21-f23a36541369,2024-08-29,129.53,Pending,Toys
8,6,Darrell,Gallagher,larryharris@example.org,+1 (379)-950-3695,"19887 Brandon Bridge, New Rebecca, MA 94947",2025-03-03,Bronze,3,f431b991-f9ab-4bac-a8f5-36e0181f5a8c,2023-03-12,367.28,Pending,Electronics
9,7,Louis,Miller,patriciaelliott@example.org,+1 (198)-862-7105,"02590 Marshall Well, Sheppardland, CT 88067",2024-09-30,Gold,1,ed240cd5-598c-4340-bf1b-61ad6511a814,2024-01-19,513.62,Completed,Clothing
10,7,Louis,Miller,patriciaelliott@example.org,+1 (198)-862-7105,"02590 Marshall Well, Sheppardland, CT 88067",2024-09-30,Gold,1,350512f8-af6c-4344-b46c-776b18fb042d,2023-08-27,651.86,Cancelled,Books
11,8,Melissa,Galloway,watsonbenjamin@example.net,+1 (548)-549-9586,"209 Steven Oval Apt. 022, Mollyhaven, NC 10211",2023-10-06,Bronze,3,2e76eb6f-ff16-4948-a1a0-67ac69172649,2024-04-16,196.27,Completed,Clothing
12,8,Melissa,Galloway,watsonbenjamin@example.net,+1 (548)-549-9586,"209 Steven Oval Apt. 022, Mollyhaven, NC 10211",2023-10-06,Bronze,3,253b81d2-9714-49f0-8919-bdb3baf2991a,2023-04-16,80.34,Cancelled,Home & Garden
